SPAN = 4600 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
450,"7.86
3.06
11.53","9.44
3.24
12.13","9.55
3.47
12.64","10.75
3.67
13.61","11.36
3.94
14.21","12.31
4.14
15.09","13.12
4.38
15.81","13.77
4.60
16.43","14.21
4.82
16.97","14.93
5.06
17.74","15.94
5.25
18.40","16.75
5.53
19.17","18.38
5.73
19.79"
500,"8.83
3.86
11.65","10.60
4.09
12.42","10.73
4.36
12.93","12.08
4.62
13.87","12.76
4.96
14.63","13.82
5.21
15.35","14.73
5.51
15.96","15.47
5.78
16.65","15.96
6.07
17.19","16.76
6.36
17.96","17.90
6.61
18.66","18.81
6.96
19.32","20.64
7.20
20.00"
550,"9.80
4.74
11.92","11.76
5.03
12.81","11.90
5.36
13.33","13.40
5.68
14.27","14.16
6.09
14.87","15.34
6.41
15.58","16.35
6.77
16.19","17.16
7.11
16.91","17.71
7.45
17.65","18.60
7.81
18.34","19.86
8.12
18.92","20.87
8.54
19.58","22.24
8.85
20.44"
600,"10.86
5.81
12.19","13.03
6.16
13.08","13.19
6.58
13.59","14.85
6.97
14.46","15.69
7.47
15.06","17.00
7.86
15.77","18.12
8.30
16.70","19.02
8.72
17.52","19.63
9.14
18.06","20.61
9.58
18.74","22.01
9.97
19.33","22.91
10.47
19.98","22.91
10.86
20.54"
650,"11.82
6.89
12.66","14.19
7.30
13.25","14.37
7.80
13.76","16.17
8.27
14.65","17.09
8.86
15.46","18.51
9.32
16.40","19.73
9.84
17.11","20.72
10.33
17.74","21.38
10.83
18.27","22.45
11.34
19.06","22.91
11.81
19.65","22.91
12.40
20.31","22.91
12.87
20.87"
700,"12.79
8.06
12.84","15.36
8.55
13.86","15.54
9.12
14.37","17.50
9.67
15.21","18.49
10.36
15.81","20.03
10.89
16.84","21.35
11.51
17.45","22.41
12.08
18.08","22.91
12.66
18.72","22.91
13.26
19.40","22.91
13.81
19.99","22.91
14.49
20.64","22.91
15.05
21.20"
750,"13.76
9.32
13.29","16.52
9.87
14.08","16.72
10.54
14.59","18.82
11.18
15.76","19.88
11.98
16.36","21.54
12.60
17.08","22.91
13.31
17.80","22.91
13.96
18.42","22.91
14.64
18.96","22.91
15.33
19.64","22.91
15.97
20.23","22.91
16.75
20.89","22.91
17.40
21.45"
800,"14.82
10.80
13.53","17.79
11.45
14.61","18.01
12.22
15.12","20.27
12.97
16.03","21.42
13.89
16.74","22.91
14.61
17.46","22.91
15.43
18.07","22.91
16.19
18.70","22.91
16.97
19.23","22.91
17.77
19.92","22.91
18.52
20.50","22.91
19.41
21.16","22.91
20.18
21.72"
SPAN = 9100 mm,,,,,,,,,,,,,
DEPTH,D/D,E/D,E/E,F/E,F/F,G/F,G/G,H/G,H/H,K/H,K/K,L/K,L/L
350,"5.15
1.42
11.03","6.18
1.51
11.79","6.26
1.61
12.27","7.04
1.71
12.97","7.44
1.83
13.72","8.06
1.93
14.44","8.59
2.03
15.08","9.02
2.15
15.81","9.31
2.23
16.31","9.78
2.36
16.99","10.44
2.44
17.54","10.58
2.59
18.20","10.58
2.66
18.72"
