OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
Span,Depth,Factored Load,4.5,6.3,8.1,9.9,11.7,13.5,15.3,17.1,18.9,20.7,22.5,24.3
5,610,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),9.7,9.6,9.8,9.8,9.9,11.3,11.8,12.0,12.0,12.6,13.0,14.1
5,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),9.8,9.8,9.9,10.1,10.1,11.3,11.7,12.1,12.4,12.8,13.2,14.3
5,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),8.8,8.8,10.3,11.2,13.0,14.6,16.7,19.4,20.1,22.1,23.9,24.0
6,305,WL/360 (kN/m),3,3,4,4,5,5,6,6,7,8,8,8
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),8.8,8.8,9.5,10.6,11.2,12.6,14.6,15.1,16.9,20.0,20.1,21.8
6,356,WL/360 (kN/m),3,4,4,5,5,6,7,7,9,10,10,11
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),9.0,9.1,9.1,10.0,11.0,11.9,13.8,15.1,15.6,17.4,18.9,20.1
6,406,WL/360 (kN/m),3,4,5,7,7,7,9,9,10,11,12,13
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),8.9,9.0,9.7,10.0,11.1,11.6,13.2,14.8,15.7,15.8,18.2,19.0
6,457,WL/360 (kN/m),3,4,5,7,8,9,10,11,12,12,14,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),9.1,9.2,9.2,10.1,11.0,11.7,11.7,12.6,15.3,16.0,16.1,18.4
6,508,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
6,,Self Wt (kg/m),9.4,9.1,9.3,10.0,11.1,11.8,11.7,14.3,14.4,16.0,16.3,16.6
6,559,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
6,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
